Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20090723,0.0237,0.0061,0.0102,0.00001,0.0124,-0.0826,0.0219,0.0563,-0.0031,0.01239,-0.08261,0.02189,0.05629,-0.00311
20090724,0.0038,0.0032,0.0009,0.00001,0.0018,-0.0145,-0.0045,-0.0789,0.0031,0.00179,-0.01451,-0.00451,-0.07891,0.00309
20090727,0.003,0.0011,0.01,0.00001,-0.0017,0.0156,-0.0108,-0.0255,0.0031,-0.00171,0.01559,-0.01081,-0.02551,0.00309
20090728,-0.002,0.0026,-0.0029,0.00001,0.0018,0.0141,-0.0082,0.0095,-0.0215,0.00179,0.01409,-0.00821,0.00949,-0.02151
20090729,-0.0046,-0.0012,-0.0082,0.00001,0.0157,0.0004,0.0211,-0.0071,0.0094,0.01569,0.00039,0.02109,-0.00711,0.00939
20090730,0.0124,0.0028,0.0144,0.00001,0.0052,-0.0122,-0.0054,0.019,0.0031,0.00519,-0.01221,-0.00541,0.01899,0.00309
20090731,0.0005,-0.0022,0.0123,0.00001,0.0171,0.0132,0.0207,-0.0023,0.0279,0.01709,0.01319,0.02069,-0.00231,0.02789
20090803,0.0163,0.0005,0.0165,0.00001,-0.0051,-0.0025,0.0027,0.0186,0.006,-0.00511,-0.00251,0.00269,0.01859,0.00599
20090804,0.0032,0.004,0.008,0.00001,-0.0017,0.0017,-0.0053,-0.0183,0.003,-0.00171,0.00169,-0.00531,-0.01831,0.00299
20090805,-0.003,-0.0113,0.0173,0.00001,-0.0085,-0.0147,-0.0018,-0.0186,-0.0209,-0.00851,-0.01471,-0.00181,-0.01861,-0.02091
20090806,-0.0062,-0.0101,0.0007,0.00001,0.0103,0.0043,0.0151,0.0024,0.0457,0.01029,0.00429,0.01509,0.00239,0.04569
20090807,0.0144,0.0097,0.012,0.00001,-0.0051,-0.0059,-0.0009,0.0118,-0.035,-0.00511,-0.00591,-0.00091,0.01179,-0.03501
20090810,-0.0032,0.0049,0.0032,0.00001,-0.0102,-0.0124,-0.0061,-0.0117,-0.0211,-0.01021,-0.01241,-0.00611,-0.01171,-0.02111
20090811,-0.0125,-0.0005,-0.012,0.00001,0.0137,0.0173,0.0106,-0.0095,0.037,0.01369,0.01729,0.01059,-0.00951,0.03699
20090812,0.0121,0.0045,0.0049,0.00001,0.0186,0.0038,0.0078,0.0287,0.0298,0.01859,0.00379,0.00779,0.02869,0.02979
